entity,field,front,back,db
account,id,,,
,username,,"Max 20, not null","Max 20, not null"
,mail,,"Max 50, not null","Max 50, not null"
,password,,not null,"Max 64, not null"
,default_serving,,Min 1,Default 4
,avatar,,,Max 500
,admin,,,
,vegetarian,,,
,vegan,,,
,glutenFree,,,
,lactoseFree,,,
unit,id,,,
,label,,,"Max 20, not null"
animal,id,,,
,label,,,"Max 20, not null"
ingredient,id,,,
,label,,,"Max 30, not null"
,vegetarian,,,not null
,vegan,,,not null
,glutenFree,,,not null
,lactoseFree,,,not null
,calorie,,,not null
recipe,id,,,
,label,,,"Max 60, not null"
,public,,,
,instruction,,,not null
,duration,,,
,picture,,,Max 500
